Distance(m),Elevation(m)
1643.337998005587,1.566442131996155
1653.1783452990335,1.480172514915466
1663.0186925924802,1.352059125900269
1672.859039885927,1.395609140396118
1682.6993871793734,1.549358010292053
1692.53973447282,1.70566201210022
1702.3800817662666,1.736678719520569
1712.2204290597133,1.722442626953125
1722.06077635316,1.718328952789307
1731.9011236466065,1.758561730384827
1741.7414709400532,1.790300250053406
1751.5818182335,1.749987602233887
1761.4221655269464,1.534111857414246
1771.262512820393,1.580270290374756
1781.1028601138398,1.693311095237732
1790.9432074072863,1.658318400382996
1800.783554700733,1.760718822479248
1810.6239019941795,1.764479279518127
1820.4642492876262,1.697629570960999
1830.304596581073,1.764590859413147
1840.1449438745194,1.769755482673645
1849.9852911679661,1.75506854057312
1859.8256384614128,1.772867441177368
1869.6659857548593,1.722278356552124
